wiI7pd,bulan_tahun,label_nbc_fasttext
"Tempat bersih, bagus, tiker murah meriah, kolamnya ada 2, satu kolam sumber airnya bening seger, satu kolam anak2. Untuk warungnya juga murah sekali harganya untuk sekelas tempat wisata",February 2023,positif
"Parkiran cukup luas. Kolam renang turun dikit dari parkiran. Sabtu kesini ga terlalu ramai. Tiket murahhhh 5rb, anak kecil 3rb parkir 3rb. Kolam dewasa disumbernya cukup luas. Kolam renang anak ada 2 dan cukup luas juga. Ada mushola dan …",February 2023,positif
Yg bawa bocil g usah panik ada kolam di dlm area,February 2023,negatif
"Kalo mau ngadem, berenang, berendam disini tempat yg pas. Airnya super sejuk dan jernih. Lmyn Bagus jg untuk underwater photography. Berenang disini gk khawatir air kotor, karena tiap detik airnya ganti  baru😁. Aman untuk kulit katna gk ada …",February 2023,positif
"Masih alami, dan tentunya perlu dimaksimalkan potensial, dan manajemen pengelolaan perlu ditingkatkan menjadi prioritas, kesadaran pengunjung akan membuang sampah sembarangan tentunya harus menjadi kajian pihak pengelola baik menyediakan tempat dan tidak bosan mengimbau serta memberikan fasilitas yg memadai sesuai dengan kemampuan..",February 2023,positif
"masuknya cmn 3000,mandi sepuasnya",February 2023,positif
Untuk yang suka berendam atau renang disarankan ke sumber sira salah satunya..karena airnya mengalir jernih dan segar..dekat dari kota..akses mudah..suasana asri..cocok untuk keluarga,February 2023,positif
Sumber air yang masih sangat alami.. sejuk segar tenang.. tiket masuk 5rb dan tiket parkir 3rb.. ekonomis dan menyenangkan.. cocok untuk refreshing bermain air..  pujasera lengkap beragam menu makanan dengan harga yang sangat terjangkau dan …,February 2023,positif
"tempatnya bersih, airnya jernih dan warungnya murah... mantep buat sama keluarga",February 2023,positif
"Buat refreshing enak banget, melepas penat dari hiruk pikuk kendaraan tempatnya pun deket sawah"" yang menambah keasrian alamnya. Disini berenang sambil merefresh otak sangat recomended dari aku👍🏻 …",February 2023,positif
"Asri, banyak pohon hanya mck kurang memadai",February 2023,negatif
"Tempatnya masuk gang tapi rada masuk ke hutan dikit, sumbernya bersih, airnya jerniihh dan bagus karena ada ganggang di bawahnya, di samping sumber ada persawahan, tersedia toilet dan tempat parkir, untuk parkir waktu itu januari tahun ini …",February 2023,positif
"Ada kolam untuk anak kecilnya juga
Suasana nya bagus lah 👍👍 …",February 2023,positif
Mie ayamnya enak banget,February 2023,positif
Tempat yang bagus untuk menenangkan diri,February 2023,positif
"Alhamdulillah air nya seger karena dari mata air..
Tambahan untuk pengelolaan lebih ditata lagi karena masih kekurangan terimakasih",February 2023,positif
Tempat yg nyaman n sejuk tuk berdiam diri dan memanjakan keluarga,February 2023,positif
"Fasilitas tempat tunggu pinggir kolam kurang memadai.
Kolam bagian timur banyak batunya …",February 2023,negatif
Kerennnnn,February 2023,netral
"Tempat nya bagus dan bersih, air nya juga masih bening",February 2023,positif
Tempat yang sejuk untuk menyegarkan diri,February 2023,positif
"wisata masih alami dan asri htm sangat murah 5000/org saat itu, air nya seger dan jernih cocok untuk yg suka berendam air 😊 tersedia toilet umum, foodcourt makanan, ruang ganti ada taman2 kecil dan dan area bermain anak sangat komplit 🤩 …",February 2023,positif
Biaya tiket terjangkau. Terdapat taman serta stand Snack yg lengkap. Persewaan tubing serta tempat bilas dan berganti baju juga memadai,February 2023,positif
Sumber Sira Putukrejo. Saya cukup kagum dengan keindahan alam yang authentic khas wisata sumber di daerah malang. Hanya berjarak 30 menit dari Alun Alun malang ditembuh dengan sepeda motor maka Anda akan sampai ke tempat ini. Tempat yang …,February 2023,positif
Tempat nyaman. Cocok untuk rekreasi keluarga sambil berenang dengan ditemani banyak ikan ikan cantik,February 2023,positif
Pengalaman tak terlupakan dengan 3 kolam renang dan pemandangan indah 🇮🇩 …,February 2023,positif
"Sumber mata air yang besar dengan debit airnya yang melimpah dan  jernih cocok buat berenang, harga tiket murah 5 000,- harga makanan yg terjangkau, secangkir kopi hitam dibandrol harga 3.000,- silahkan dibuktikan keindahan alamnya",February 2023,positif
"Tempatnya bagus, airnya bersih, infrastrukturnya terawat, dan kawasannya sedang dalam perbaikan. Dan Anda akan berenang dengan banyak ikan kecil! Minusnya yang saya punya adalah tentang pengunjung lain.. …",February 2023,positif
Sangat menarik untuk di kunjungi,February 2023,positif
"Air jernih.,tukang parkirnya sopan dan penjaga tiketnya terlalu pendiam jadi ada yg nylonong di biarkan saja gak bayar..btw semua nyaman tinggal nunggu perbaikan selesai semua tambah ciamik sepertinya..tidak sabar kesana lagi..semangat..",February 2023,positif
Waah ini sih enak banget. Berenang tanpa kaporit 🥰😍 …,February 2023,positif
"Jernih airnya, bisa berenang",February 2023,positif
Sumber air yg msh jernih,February 2023,positif
"Alhamdulillah, lumayan terjangkau, parkir murah, gorengan murah, dan ada musholla nya juga 👍 …",February 2023,positif
tiket dan makanan murah. petugasnya rendah hati.,January 2025,netral
"Airnya bening, ada ikan kecil2. Rute mengikuti google gak bikin bingung kok. Mantaap👍🏻 Ada kolam anak juga. Harga tiket masuk murah 👍🏻 …",January 2025,positif
"Tempatnya nyaman dan hawa nya yg sejuk membuat hati tenang, cocok buat kalian yg ingin berakhir pekan bersama keluarga, dan cocok buat kalian yg ingin bersantai dan menenangkan suasana hati",February 2023,positif
Bersih rapi orng sktrnya ramah .asik buat mancing ikan wadeer,February 2023,positif
Tempat yang sangat bagus,February 2023,positif
Hanya mata air saja,February 2023,netral
"Sebenarnya tempat wisata yg sangat potensial, sayang banyak ditemukan bekas sachet shampoo dan sabun mandi... Sayang banget sumber air jernihnya. Kasih *5 kalau bs menertibkan hal2 tersebut",February 2023,positif
Tempat wisata untuk berendam..pemandangan indah cocok tuk refressing,February 2023,positif
"tempat sejuk dekat sawah, air jernihnya jernih sekali dan bersih",February 2023,positif
"Bagus banget nyaman, muraahhh",February 2023,positif
Cocok utk semua kalangan...,February 2023,netral
"Bening nya luar biasa. Sayang kutang pengelolaan. Terlihat sampah berserakan, terutama sachet sabun dan shampoo, sangat disayangkan dipakai deterjen untuk sumber air sejernih ini",February 2023,negatif
Biasa aja  seperti bendungan bukan sumber. Tempat mandi jadi 1 perkir terlalu jauh seharusnya di bawah. Makanan cukup. Lokasi tempat makan ke jauh an,February 2023,positif
Tempat yang recommended buat berenang atau sekedar santai 😁 …,February 2023,positif
kamar ganti dan kamar mandi kurang nyaman,February 2023,negatif
Ademmm,February 2023,netral
Mantap,February 2023,positif
Sumber sira memang bagus namun masih banyak publik yang tidak tahu bahwa nama asli dari sumber sira itu adalah sumber mbureng dan lokasinya berada di desa sumber jaya bukan desa putuk rejo,February 2023,positif
Tempatnya masih asri sekali. Airnya bening renang juga ma ikan2 kecil.,February 2023,positif
"Gak terlalu rame kalau datang pagi, airnya jernih jadi keliatan ikan-ikan dan tumbuhan di dasar sumber. Tiket masuk cukup murah, 5rb/orang. Ada persewaan pelampung juga, tapi airnya gak begitu dalam.",February 2023,positif
"T4 nya keren..sejuk,pemandangan sekitar jg menenangkan & menyenangkan,airnya segar dikala udara siang yg begitu panass...saat berenang serasa diving dilaut,dikelilingi ikan jga..mantapp dech..👍👍 …",February 2023,positif
Jika,February 2023,netral
Tempat enak bisa buat santai sama keluarga.... Dalam tahap pembangunan area lokasi,February 2023,positif
"Menyenangkan, semoga ke depan lebih bagus lagi",February 2023,positif
"Suasana nyaman, sejuk, air seger. Aman buat berenang, nggak terlalu dalam, tiket murah.",February 2023,positif
"Bisa Healing dg harga murah, airnya jernih segerr cocok buat wisata air yg bersahabat",February 2023,positif
Suasana yg alami pegunungan,February 2023,positif
Wisata kolam renang alami...air langsung dari sumber mata air pegunungan..harga tiket murah banget di tambah suasana pedesaan dan banyak gasebo unt beristirahat,February 2023,positif
Destinasi bernuansa tenang dengan kolam renang alami yang jernih & tumbuhan rimbun di dekat sawah.,February 2023,positif
suka sekali,February 2023,positif
Salah satu opsi liburan low budget,February 2023,negatif
Bagus,February 2023,positif
Mantab deh mandi disini,February 2023,positif
Tempatnya alami banget dan jalur untuk ke sini aman banget untuk anak-anak. Pemandangan indahh dilengkapi sawah-sawah dan pohon pohon besar. Terdapat warung yg menyediakan berbagai macam makanan serta camilan. Harga tiket masuk sangat terjangkau,February 2023,positif
Tempatnya sejuk dan indah. Airnya jernih. Recommended lah,February 2023,positif
"Wisata murah meriah.
Tempatnya bersebelahan dg tempat wisata lain. Jadi sekali masuk, 2 tempat wisata di kunjungi.",February 2023,positif
Airnya dingin dan segar,February 2023,positif
Lumayan....,February 2023,netral
"Air jernih, ada ikannya... Datang kesorean jam 4.30, sudah sepi tapi dingin hehehe.... Naik motor bersama keluarga (berempat) bayar Rp 12000 untuk tiket + parkir. Bayar kamar ganti Rp 2000. Untuk orang dewasa menyenangkan tapi anak kecil …",February 2023,positif
Recomended,February 2023,positif
"Seger banget airnya, paling suka di bagian yg ada taneman airnya, jadi spt snorkeling di laut, tapi ini di air tawar. …",February 2023,positif
"mandi yang sangat indah. memiliki air yang sangat jernih, murah dan dekat dengan kota Malang",February 2023,positif
Airnya jernih dan sejuk,February 2023,positif
"Tempatnya keren,,,,",February 2023,positif
Cocok bagi yg bisa berenang san butuh ketenangan,February 2023,positif
Santuy,February 2023,netral
Tempatnya bagus,February 2023,positif
Sebagos ini whort it bgt lah!!,February 2023,positif
Masya Allah. Airnya bening dan banyak ikannya,February 2023,positif
Suwegeeeeer pokok e👍 …,February 2023,positif
Tau tempat ini dri fyp situs pembelian tiket. Dan kebetulan ada di lokasi yg dekat. Memang sedikit berbeda ketika di iklankan situs tsb. Tapi oke lah. Sumbermata air yang sangat jernih dan  sangat menyegarkan tentunya. Jadi perjalanan anda akan terbayar ketika sampai disini,February 2023,positif
Airnya seger bgt,February 2023,positif
Tempat mandi saat remaja tahun 2000 sekarang udah maju meski blm bisa kesana lg hanya bisa liat dari jauh….semoga makin berkembang,February 2023,positif
Jangan lupa bawa kacamata renang yg bening biar enak nikmati ikanw yang banyak warna warni dan rumput air yg bergoyang,February 2023,positif
"Tempat yang sangat cocok untuk Healing melepas penat. Tempat nya Luas dan sangat asri dekat dengan persawahan, sehingga pemandangan Area hijau memanjakan mata. sumber Pemandian dengan ketinggian air sekitar 100-140cm Cocok untuk Olahraga …",February 2023,positif
Tuhan,February 2023,netral
"Sangat tenang, bersih tempat nya, ramah penjualnya, murah tiket nya, bening air nya ... Worth it banget kalo mau kesini, usahakan bawa ganti. Karena pasti ingin nyemplung kalo liat air e ...",February 2023,positif
"Memang sih kaga heboh heboh banget, tapi dengan tiket seharga lima ribu untuk dewasa dan tiga ribu untuk anak-anak, kita bisa menikmati kolam alami yang buweniiing bingit, berenang bersama ikan-ikan ketcyil, anak-anak pasti suka.. …",February 2023,positif
"Tempat sangat bagus, air juga bersih dan jernih banget, biaya masuk juga sangat murah, airnya seger banget... harus kesini pokoknya.",February 2023,positif
air nya dingin banget,February 2023,netral
"Airnya bening sekali, suasananya juga sejuk",February 2023,positif
"HTM: Rp 5.000/orang (parkir roda dua Rp 2.000). Sewa ban Rp 5.000.
Lebih asik datang sepagi mungkin karena belum ramai.",February 2023,positif
"Airnya jernih, tempatnya asri adem ayem",February 2023,positif
Air bersih alami dengan beberapa ikan kecil di dalamnya,February 2023,positif
Di kasi ramuan apa aja,February 2023,netral
"Worth it banget, airnya jernih, segerrr gk terlalu dingin",February 2023,positif
Tempat keren,February 2023,netral
Bening bangettt,February 2023,positif
Wisata wisata alami yg bagus utk healing dan refreshing 🥰🥰😘😘😘 …,February 2023,positif
"Bagus banget, tiket masuk cuma 5ribu, air bening banget",February 2023,positif
Cukup Bersih,February 2023,positif
"MasyaAllah, airnya bersih sejuk menenangkan, berenang oke banget, ada tempat makan dan minum, tersedia loker dan kamar mandi 👍💞 …",February 2023,positif
"Wihhh tempatnya rame banget, Bener2 sumber alami buat berenang,Airnya jernih,Disekeliling banyak orang jual jajan2an,Baju2,Banyak deh..
Lahan parkir nya juga luas banget …",February 2023,positif
Air segar dan super jernih,February 2023,positif
Wisata alami. Murah. Menyenangkan buat keluarga,February 2023,positif
Bagus,February 2023,positif
Suasananya alami airnya bersih. Harga tiket masuk cuma 5000,February 2023,positif
Tempatnya asri... Adem... air sumber jernih... banyak ikan kecil2 disini... gemes deh... syuukaa sekali...,February 2023,positif
Semoga terus terjaga keasrian alamnya,February 2023,positif
view mantab untuk kita terutama keluarga,February 2023,netral
cukup menghibur dan melepas penat,February 2023,positif
"Tempatnya enak, airnya bersih, bening dan segar. Namun sayang, masih ada orang yang tidak bertanggung jawab membuang sampah bekas jajan di kolam. Harusnya diberi papan larangan membawa makanan diarea kolam, agar kolam terjaga kualitas sumber airnya.",February 2023,positif
Nitip foto az,February 2023,netral
Kurang memuaskan. Kurang ada inovasi,February 2023,positif
Flora pemandian nya bagus gaes.. Air nya dingin,February 2023,positif
Mantap,February 2023,positif
Pengalaman habis mandi ruang ganti tidak tersedia ada taoi kurang jandi anti sangat lama,February 2023,negatif
Tanaman bawah airnya banyak yang rusak,February 2023,negatif
"Terlalu banyak pungli untuk warga sekitar, sumber airnya bagus",February 2023,positif
"Sejuk dan nyaman
Buat yang mau renang sangat rekomedasi
Jangan takut kelaparan karna disini juga ada warung makan jugaa",February 2023,positif
Kalau mnurut saya sih... Biasa aja..,February 2023,netral
"Adem, seger, jalan nya biasa aja bisa mobil dan motor.",February 2023,positif
"Bagus, sawahnya diperluas dan diubah menjadi kolam ikan, dan Anda bisa makan ikan bakar...",February 2023,netral
Reservasi dan perbaikan kurang..tong sampah yg minim..klo soal air..bening bgt,February 2023,positif
Sabi la buat temen nongkrong,February 2023,positif
"Segar sekali airnya, munkin perlu sedikit pemeliharaan dan penambahan wahana biar setiap tahun menarik wisatawan utk datang kesini",February 2023,positif
Banyak yg langsung kerumah,February 2023,positif
"air bersih langsung dari sumber. kolam masih alami, tak terlalu dalam, masih cukup aman, lokasi luas, parkiran aman, banyak warung murah",February 2023,positif
Luar biasa,February 2023,positif
"Seger banget, masih ada sampahnya si, dan jalan untuk menuju lokasinya kurang baik. Tetapi untuk pemandangan di bawah air nya bagus sekalii, kamar mandi nya bersih, harga tiket masuknya juga terjangkau.",February 2023,negatif
"Tempat wisata yg lumayan bagus,fasilitas lengkap,,airnya bersih dan jernih,anak2 suka di ajak berenang,tiket masuk murah,parkiran mobil luas,gak nyesel deh kalau kesini...",February 2023,positif
"Bagus , kalo di foto",February 2023,positif
"Alternatif wisata renang yg murah meriah , airnya jernih viewnya bagus  dan tersedia aneka masakan murah dan enak",February 2023,positif
"Tempat sejuk, seger, cocok buat refresing keluarga. Kebersihan masih kurang, banyak sampah sisa makanan di beberapa titik, terutama di bawah-bawah pohon.",February 2023,positif
Sumber air yang sangat jernih di Kabupaten Malang. Tempat wisata ini dikelola oleh desa dengan HTM 5.000/org. …,February 2023,positif
"Suasananya sejuk. Pelayanannya ramah. Tiket masuk dan perlengkapan di sana murah. Banyak kamar mandi. Sumbernya segar dan bersih. Oh iya, banyak makanan juga. Murmer dan enak. Ke sini yak gengs kalau libur... Seru dan menyenangkan!",February 2023,positif
Bagus,February 2023,positif
Kemenangan,February 2023,netral
"Tempatnya sejuk, ga terlalu luas, ada sawah. Tidak terlalu ramai seperti dulu. Mudah dijangkau, di kabupaten malang. Air lumayan jernih dan dingin. Ada warung-warung makan.",February 2023,positif
Mangap,February 2023,positif
"Bagis airnya bening asri banget tempatnya .,persis di belakang rumah mertua saya kalo pas ke malang pasti mampir",February 2023,positif
Mantap,February 2023,positif
Mantab asri banget,February 2023,positif
"kudanan, nyaman ✌",February 2023,netral
Saya tidak bisa mengambil foto ini,February 2023,negatif
"Mandi di sungai dengan air yang bersih pasti menyegarkan di siang hari di kala panas menyengat, apalagi di temani sahabat dan kerabat. …",February 2023,positif
Airnya sangat jernih...cocok untuk mandi bersama,February 2023,positif
Tempat Rekreasi Dan Mancing 🎣 …,February 2023,netral
"Khas sumber alami, pepohonan rindang dekat sumber
Murah meriah
Bening sehat …",February 2023,positif
"Dulu Jalanya Masih Tanah , Sekarang sudah di Beton , jadi lebih nyaman pengunjung yg datang",February 2023,positif
Airnya jd kotor gara gara ada yg main d rumput air,February 2023,negatif
Penjaga loket wanita tua yang tidak punya tata krama dan suaminya yang sedikit sedikit sedikit menggunakan kekerasan,February 2023,negatif
Bagusan tulisan pas di blkg tahun 2018,February 2023,positif
Air yang jernih dan sweger...,February 2023,positif
Ini sangat keren ....,February 2023,positif
"Mantap airnya jernih sekali, tiket masuk murah dan bersahabat, untuk kedalaman relatif, ada sisi yg mungkin gk seberapa dlm, dan ada yg dlm kemungkinan 2 meter an. Tergntung debit air juga.",February 2023,positif
Lumayan buat healing.. mmng kurang tertata dan kebersihannya kurang diperhatikan. So far murah dan kolamnya seger,February 2023,positif
"Tempat enak, yg jelas sih tempat renang kwkwkwk, untuk parkiran luas, harga makanan/minuman rata"" murah, cuman mending bawa bekal biar hemat",February 2023,positif
"jernih airnya dn syeger. toilet bersih. jalan dr parkiran ke sumber menurun dn utk orang tua (lansia) mgkn agak sulit dn hrs berhati2 terutama saat musim hujan akan licin jalannya. kedalam bervariasi dn yg gk bs renang hati2 ya, saya lupa …",February 2023,positif
Tempatnya bagus hanya dasarnya batu penuh lumut jadi kalau di injak menakutkan,February 2023,positif
Semakin bagus.,February 2023,positif
Tempat berenang murah meriah,February 2023,positif
Berkali kali kesini ❤❤❤,February 2023,netral
tempat yang cocok untuk ngopi dan makan pop mie di pinggiran sumber,February 2023,positif
"Tempatnya sangat nyaman n mudah di jangkau.
Airnya dari sumber yg bersih n pemandangan sekitarnya jg indah",February 2023,positif
"Air dingin segar dengan pemandangan persawahan
Cocok untuk mendingankan pikiran
Apa lagi kalo datengnya pagi",February 2023,positif
Increasingly sumber sira😘 …,February 2023,netral
Lumayan... Parkir mobil 5rb tiket masuk 5rb. Bnyak ikan wader e... Ad tulisan dlarang mancing tp tetep d pancingi anak2.😄 …,February 2023,positif
Kesini setelah lihat video niko channel.,February 2023,netral
"Airnya super jernih
Tumbuhan dasar danau sangat indah",February 2023,positif
Sumbersira merupakan wisata alam yg nerada di kec gondanglegi.kolam yg indah dan bersih salah satu yg membikin kita nyaman pada saat berlibur..,February 2023,positif
"Adem banget, menyenangkan, air sangat jernih, ditambah dengan berkeliaran nya ikan - ikan lepas, semakin menambah keindahan alam, makanan ringan sangat murah sekali",February 2023,positif
"Bersih, nyaman, adem juga, airnya juga masih terjaga dan masih alami. Biaya masuk cuma 5k/orang, parkir juga cuma 2k, kalau bawa mobil juga bisa. Ada tempat ganti baju, lesehan/warung2 yg tertata bersih.",February 2023,positif
Bagus banget,February 2023,positif
Segeerre.... airnya bening dan menyehatkan,February 2023,positif
Bagua tempatnya. Cuma sempet bingung pintu masuknya.,February 2022,negatif
Jernih sekali airnya sumber sira,February 2022,positif
Cocok utk berendam,February 2022,netral
Bagus banyak airnya 😀😀😀 …,February 2022,positif
"Lumayan..sempat tertarik sambal tempe pengunjung lain dan ngomong sama istri saya...,tahunya yg punya denger dan nawarin makan...,jadi malu..",February 2022,positif
"Wisata air alami & terjangkau , cocok untuk keluarga",February 2022,positif
Bagus 👍 …,February 2022,positif
Tempat pemandian yg sering dikunjungi goweser. Tiket masuk yg murmer. Fasilitas cukup lengkap.,February 2022,netral
Tempat ngadem cocok untuk menghilangkan kepenatan setelah capek sepekan bekerja,February 2022,negatif
"Pemandian alam sumber sira, aksesnya mudah.
Tiket masuk 5.000
ada warung dan juga kamar mandi/ kamar ganti.",February 2022,positif
Tempat nya nyaman,February 2022,positif
Mantap bgt wisatanya.,February 2022,positif
"Airnya jernih air sumber
Cocok buat latihan snorkling dan lebih kerennya banyak ikannya kolamnya besar pula",February 2022,positif
Airnya jernih sejernih kaca dingin dan segerr banget..,February 2022,positif
Adem,February 2022,netral
"Ini yg kelihatan sederhana tapi menyenangkan, sungguh..",February 2022,positif
Tiket nya murah banget,February 2022,netral
"enak untuk berenang dan menyelam, airnya jernih, jangan lupa pake waterproof hape untuk selfie di dalam air(di lokasi banyak yang jual)",February 2022,positif
"Airnya bening, hawa-hawa pedesaan masih kerasa banget. Apalagi tiket masuknya murah banget.",February 2022,positif
"wisata alam yang alami dan asri
dengan sumber air yang segar, ganggang dalam air yang tidak ada duanya.",February 2022,positif
tempat yang bagus untuk tempat fto di aer,February 2022,positif
"Area healing yang sangat terjangkau, dengan suhu air yang dingin meski  masih bisa dikelola secara lebih profesional lagi. Dengan tiket masuk yang sebegitu murah sulit memang kalau menuntut lebih. Sehingga tampak kalau kualitas sarana …",February 2022,netral
Rekreasi keluarga murah meriah,February 2022,netral
Sangat indah untuk bermain berenang,February 2022,positif
"Wisata alam recomomended, air nya bening",February 2022,positif
"tmptnya bersih, airnya bersih, dan kantinnya teratur dan bersih unt parkirnya klau aku agak kemahalan 10 rb padahal karcis masuknya cm 5 rb",February 2022,positif
"Sumber air sangat jernih, tidak terlalu dalam / dangkal, fasilitas lengkap, tidak jauh dari jalan utama,",February 2022,positif
"Tempat yang bagus banget buat healing, apalagi airnya jernih sensasinya kayak diving tapi di sungai gitu... pinggiran nya sawah² apalagi pas padinya menguning indah banget diliatnya …",February 2022,positif
"Tempat wisata air alami yang murah meriah di kabupaten Malang, lokasinya di kecamatan Gondanglegi...
Harga tiket masuk Rp 5.000,- /orang. parkir motor Rp.2.000,- mobil Rp . 10.000,- …",February 2022,positif
Fasilitas kurang diperhatikan gazebo se akan di persewa kan bagai milik pribadi tidak bisa untk bergantian,February 2022,positif
"Banyak orang, airnya bersih, ada persewaan ban kecil dan besar yang murah, ada pusat kuliner untuk makan.",February 2022,positif
Lumayan buat mengisi liburan,February 2022,positif
Tempat Santai suasana asri,February 2022,positif
"cantikkk bgt biota airnyaaaa. ada tumbuhan, ikan"" kecil, bebatuan, pasirnya lembut. ekosistemnya bagus bgt terawat. tempatnya asri masih serba hijau dan gaada sampah. cuma sayangnya rame bgt pas kesana jd krg menikmati.",February 2022,positif
Wisata menarik murah meria,February 2022,positif
Bagus tempatnya,February 2022,positif
"tempat yang sangat bagus untuk penyembuhan...airnya jernih tempatnya sejuk,apalagi ada pemandangan bawah laut yang sangat indah..recomended banget buat yang mau belajar berenang...anak kecil pun bisa kesini.. . sudah yang terbaik.. kamu tidak akan menyesalinya",February 2022,positif
Sejuk rindang enak,February 2022,positif
"Alhamdulillah sumber bersih , makanan lumayan murah meriah , tiket masuh juga murah , pelayanan dan kebersihan juga bagus",February 2022,positif
Tempat yang indah.,February 2022,positif
Disana itu sangat menyenangkan,February 2022,positif
Asri airnya segar nyaman alami,February 2022,positif
Bagus cuman ada sedikit sampah plastik yg ada di dalam kolam membuat kotor air yg begitu jernih,February 2022,positif
Tujuan keluarga untuk menghabiskan liburan,February 2022,netral
airnya sangat dingin sekali enak banget pas renang siang hari bikin betah lama lama disini,February 2022,positif
Cocok buat rekreasi segala umur,February 2022,netral
Sersan,February 2022,netral
"Akses dari kota malang cukup mudah, namun akses jalan menuju lokasi cukup sempit & sedikit rusak. Kedalaman air cukup bervariasi, tapi masih terbilang cetek. Sekitar 1 meter an.",February 2022,negatif
Oke,February 2022,netral
"Luar biasa, direkomendasikan untuk menyegarkan",February 2022,positif
Penataan mulai bagus,February 2022,positif
Joss,February 2022,positif
Senang sich..cm wktu itu masih bnyak tempat wisata yg masih tutup.☹️,February 2022,positif
"Tempatnya tutup tapi googlenya nggk di update, udah jauh jauh dateng malah tutup.",February 2022,netral
Sumber air Bagus disekitarnya banyak sawah,February 2022,positif
Aku tidak benci aku suka,February 2022,positif
Harus lebih dijaga,February 2022,netral
GPS keterangan buka sampe sama suruh balik karena tutup total padahal jauh² datang,February 2022,netral
Mantap,February 2022,positif
Sudah bagus sih biaya terjangkau,February 2022,positif
Tempat yang asik tapi sayang masih tutup,February 2022,positif
Buruk,February 2022,negatif
Tempatnya sejuk dan kolamnya jernih,February 2022,positif
Pemandangan alam yg masih asri🌿🌿🌿 …,February 2022,positif
Pelayanan mwantabb,February 2022,netral
"Airnya jernih, hanya spot foto kurang...",February 2022,positif
Pemandian alami dengan sumber air yang  jernih,February 2022,positif
"Asyik buat refresing...
Murah banget HTM nya...",February 2022,positif
"Zonk.. di Google Maps tertulis buka, waktu kesana Tutup Totalnya gara-gara pandemi. Harus lebih update lah. Kasian jauh kesini taunya tutup.. kurang profesional",February 2022,netral
"air jernih banget,cuman dasar kolam bebatuan agak tajam2,sewa ban kehabisan, air gak begitu dingin, view istimewa",February 2022,netral
"Tempat nya sejuk, air nya jernih, harga makanan murah meriah, pedagang nya jg ramah2. Kalau beli makanan yg di dalam jangan di luar, karena kalau di luar dekat parkiran ngentol harga. Jempol 4 buat tmpat ini.",February 2022,positif
mantap .. tempatnya enak,February 2022,positif
Sesuai ekspektasi,February 2022,netral
"Tempat rekreasi yang menyenangkan, tiket masuk 5000 perorang dan parkir motor 2000. Worth it",February 2022,positif
"Air nya jernih bgt, seger",February 2022,positif
Sumber sirah salah satu destinasi wisata yang cukup murah dan akses mudah.,February 2022,positif
"Bagus banget😍
Jernih banget airnya rekomended murah pol😂 …",February 2022,positif
Jang salto dari atas ya....d dasar kolam banyak batu...airnya jernih sekali...bersih minim sampah,February 2022,positif
"Asri,sejuk,murah,...
Spot foto bagus.",February 2022,positif
"Lumayan nyaman, airnya juga lumayan bersih. Cocok buat liburan bareng keluarga",February 2022,positif
Selamat menikmati slulupp,February 2022,positif
Merupakan sifat yang sangat baik untuk mengisi ulang diri kita sendiri. Berenang di sini pada pagi hari akan memberi Anda energi baru.,February 2022,positif
"Wisata sumber sira, merupakan Wisata yang banyak diminati oleh banyak pengunjung mulai dari anak-anak, remaja dan dewasa, tempatnya enak, nyaman,bersih, Adem,Alami, airnya juga jernih dan sangat Alami dari sumber yang sangat bagus dan besar.",February 2022,positif
kurang puas soalnya kotor dn bnyak bebatuan tajam.. tetap waspada sobat..,February 2022,negatif
"tersedia warung makan dengan harga terjangkau,,,tempat mandi  anak juga ada,,,tempat mudah dijangkau,,berada diarea dekat persawahan,,cocok untuk yang suka berfoto foto,,,",February 2022,positif
"Biaya masuk 5000/orang dan biaya parkir 2000/orang, murah meriah dan cocok untuk wisata bersama keluarga.Airnya segar, bersih, dan banyak ikannya. Ada juga spot foto di tanaman air, tapi rawan rusak kalau tidak hati-hati. Mungkin bisa …",February 2022,positif
Bagus,February 2022,positif
"Sekarang buka nggak ya, kangen lama nggak kesana",February 2022,negatif
Jalurnya luarbiasa,February 2022,positif
"Air sangat segar dan jernih, recomended 👍 …",February 2022,positif
Tempat yang cocok untuk berlibur keluarga,February 2022,netral
Segar,February 2022,positif
mata air bening,February 2022,positif
"Tempat nya enak buat refresh pikiran, buat berenang juga airnya segar. Hanya kudu hati2 pas berenang krn batu/karang di dasar licin.
Untuk akses jalannya mudah ditemukan dg gmaps. …",February 2022,positif
"Rindang dan airnya dingin, sudah banyak taman2 dan gasebo2, bisa sewa ban utk brenang
Ada tanaman airnya cocok utk foto2 underwater",February 2022,netral
cocok untuk foto bawah air,February 2022,netral
kakak ipar gay 👀 …,February 2022,netral
kemenangan,February 2022,netral
"Harga tiketnya murah meriah, tempatnya luas, ada mainannya juga, terus ada yang jualan makanan ❤️",February 2022,netral
Menyenangkan bisa berenang di kolam sumber mata air langsung.,February 2022,positif
Bersih keren,February 2022,positif
"Tempatnya asri, bagus, tiket juga murah",February 2022,positif
"Air sumber.murah, dekat sawah. Kamar mandi banyak.",February 2022,netral
"Bagus, keren, rekomendasi banget.",February 2022,positif
"Murah meriah, bagus buat spot snorkling",February 2022,positif
"Tempatnya bs dibilang ckp apik , tiket masuk murah tp sayangnya ketika saya kesana klo saya gk salah liat disekitar tmpt parkir ada tmpt pembakaran sampah.Nah asap dr pembakaran itu membuat udara di sekitar pemandian jadi tercemar.",February 2022,negatif
