wiI7pd,d4r55,rsqaWe,bulan_tahun
"Lumayan bagus utk ngadem,tiket gratis,byr parkir sj 3000, makan di warung harga standart gak bikin kantong bolong",Agus Hariadi,setahun lalu,February 2024
"Pemandian dan kolam renang dengan sumber air murni dan jernih alami, di desa putukrejo gondanglegi malang, tiket masuk 5000, parkir mobil 10rb, sdh bisa renang sepuasnya. …",HM. Erfandi,setahun lalu,February 2024
"liburan murah meriah, htm hanya 5k
bisa renang langsung di sumber sira. Tersedia kolam renang untuk anak2, fasilitas oke langkap dengan kmar mandi/baju ganti, musholla bersih dan warung2 kopi yg …",Uptala Tata,setahun lalu,February 2024
Mantab,Rizky Zaenal,setahun lalu,February 2024
"Murah, ceria, suasana natural, penataan cukup baik untuk harga segitu 👍👍
Harga Makanan & Minuman pas di kantong
Ada kolam renang anak, ada kolam mata air dengan kedalaman -+ 1,5 meter.. …",Septo Raharjo,setahun lalu,February 2024
"Wisata viral yg cocok untuk semua kalangan menengah keatas sampai kebawah..
Apalagi ditempat warung yg jualan sangat ramah tamah... ☺😊 bintang⭐⭐⭐⭐⭐ untuk pelayananya.. 👏👍👌 …",Pak Edris,setahun lalu,February 2024
Air jernih,Edy geol,setahun lalu,February 2024
"HTM Dewasa 5rb
HTM Anak 3rb …",Sarie Avriel,setahun lalu,February 2024
Bagus indah pemandangannya,Nilamfiwi Id,setahun lalu,February 2024
Sejuk,yogiafrizal anwar,setahun lalu,February 2024
Htm cuma 5k parkir R2 3k gorengan 1k kopi 5k naik kereta diatas sawah 10k.. Lumayan healing tipis2,Lukman Muksin,setahun lalu,February 2024
Tempat memiliki rute yang sama dengan Sumber Jenon (versi memutari gunung) namun lurus nambah 5km. Jalan relatif datar dengan elevasi gain dari sidoarjo hanya 257m. …,TheCyclistGuide,setahun lalu,February 2024
"HTMnya kalo ga salah 5rb perorang + parkir motor 3rb
Tempatnya bagus, airnya jernih bgt, seger karna dikelilingi sawah tapi sayang lumayan ada banyak sampah plastik di sekitar lokasi …",Idang A. Rekasandi,setahun lalu,February 2024
Lumayan untuk rekreasi keluarga dwngan tema alami,Wahyu Santoso,setahun lalu,February 2024
"Tempatnya Bagus, jalan menuju lokasi kurang lebar sehingga kurang bisa cocok kalau ramai roda4, Airnya Bening Sekali, enak buat berenang, ada kamar mandi 3 namun agak kurang terawat mungkin karena pengelola lokal tidak ada plakat dikelola …",Bayu Ido,setahun lalu,February 2024
"Air kolamnya jernih banget, tetapi hati"" karena banyak bebatuan yang cukup tajam & ada lumut nya sehingga licin dan juga berhati"" apabila diatas jam 3 sore airnya mulai naik",Rizky Maulana,setahun lalu,February 2024
"Jangan terlalu berekspektasi tinggi yah...
Tiket masuk 5rb/orang, parkir sepeda motor 3rb, sewa ban kecil 5rb, kamar mandi bayar (ganti baju 2rb). Dengan harga segitu udah cocok lah buat bikin video …",Narendra Dyah Sholikha,setahun lalu,February 2024
"Enak untuk hiling,murah juga tiket masuknya cuma 5 rb",muhammad abdul ghafur,setahun lalu,February 2024
"Destinasi wisata keluarga dgn harga tiket yg terjangkau untuk dewasa cuma 5 rb, untuk anak2 3 rb..parkirmotor 3 rb..dan mulai 14 juni ada wahana baru..kereta api mini dgn tiket cuma 10 rb perhari orang",Yusuf Item,setahun lalu,February 2024
Bagus,Fajar Pichii,setahun lalu,February 2024
"Parkir 2000
Tiket masuk 5000
Sewa ban 5000 …",agmazafihi putri,setahun lalu,February 2024
Ga berani renang di sini soalnya takut kalau ada hewan yang kyk menyeramkan gtu pokoknya takut dah 😱 …,Endah Windi,setahun lalu,February 2024
"Sumbernya jernih sekali, gazebo dan juga tempat makan tertata rapih dan bersih. 10/10 manajemen",Andre Achsan,setahun lalu,February 2024
Rileks,Nur Aminullah Firdaus,setahun lalu,February 2024
Bagus karena ada wahana baru kereta api di area persawahan😍 …,Ervinda Eni,setahun lalu,February 2024
"Tiket Masuk Dewasa 5000, Parkir 3000 untuk motor, mobil 5000..

Airnya jernih, Ada kolam dewasa dan anak anak dipisah. …",Taryo,setahun lalu,February 2024
Cocok untuk rekreasi keluarga tempatnya nyaman,Husnul Amaliah,setahun lalu,February 2024
"Semakin lama semakin baik dari segi fasilitas
Masih terasa adem dan asri, airnya juga masih bening, ganggang air nya apik bingits(para pengunjung juga perlu patuh aturan, dan wajib menjaganya ya gaes...) …",Dini Kholili,setahun lalu,February 2024
Wahana baru kreta sawah,Alfian Andrianto,setahun lalu,February 2024
"Air nya sangat jernih
Dan ada pembatas trumbu air untuk tempat tinggal ikan kecil..
Asli air segar",adi populer,setahun lalu,February 2024
"Airnya bening, kedalaman air kurang lebih 1,5 meter",ARIF KEMBIRI,setahun lalu,February 2024
"TM terjangkau,  sejuk, natural, anak² bisa renang, out bond, stand kopi 👌👍.
Pasti kesana lagi nantik tunggu wahana yg baru 🙏 …",Euodia Lestari,setahun lalu,February 2024
Mantap,Sugeng Hariadi,setahun lalu,February 2024
"Luar biasa, airnya jernih, banyak ikan sama tanaman airnya. Terus ada wahana juga. Hanya saja agak kotor di tempat nongkrong 😅 …",viceroy586,setahun lalu,February 2024
Perlu dipoles agar semakin diminati,Badri Manu,setahun lalu,February 2024
Mantap,Sinai Streetmlg,setahun lalu,February 2024
Air nya bening dan sumber nya baik,Yan Nino,setahun lalu,February 2024
"cocok banget buat healing.
jalan menuju lokasi sangatlah mudah, air jernih. Soal makanan, disana banyak warung² jual aneka mie gorengan minuman jadi tidak perlu khawatir. …",Nasyawa Kirana,setahun lalu,February 2024
"Main ke sini hari senin, tiba pk. 08.00, jadi pengunjung pertama. Sampai pk.10.00 baru ada pengunjung lagi. Suasana agk rame, dan masih adem.
Ada perbaikan, banyak tukang mengerjakan irigasi. Jadi tempatnya agak berantakan. Tiket masuk 5K, parkir mobil 10k (mahal)",Heri Sugianto,setahun lalu,February 2024
Seru,Cecep Rahmat sopi,setahun lalu,February 2024
Sangat menyenangkan dan puas 😍 …,Windah Fitriyah,setahun lalu,February 2024
Luangkan waktu mu rehat lah sejenak,Anang L,setahun lalu,February 2024
"Tempat nyaman sejuk,tertata rapi",Didin Triwidianti,setahun lalu,February 2024
Adem banget tempatnya dan belum terlalu ramai pengunjung,Rampu Kinataka,setahun lalu,February 2024
Lek rene pas awan seger caak,Cak Dicky,setahun lalu,February 2024
Beming banget,My name,setahun lalu,February 2024
"Nggak bisa di ungkapkan sih, tapi cobain dulu aja hehe",Iro Afandi,setahun lalu,February 2024
Mata air yang jernih dan indah,Muhammad Muzayyin Arsyi,setahun lalu,February 2024
"Tempat wisata yang bagus, dapat berkunjung dengan pasangan atau keluarga dapat juga di gunakan camping",Em Ha,setahun lalu,February 2024
"Ya cocok untuk orang -orang yang prnasaran dan suka prmandian dari sumber air asli, kolamnya mrnyenangkan, banyak ikan² kecil, dasarnya banyak batu-batuan besar buat pijakan,hati2 ada yg tajam, srbagian berpasir",Lutfi Aminah,setahun lalu,February 2024
Sangat nyaman,Syiva Nur rahma,setahun lalu,February 2024
Seger dan murah meriah,Adam Suraka,setahun lalu,February 2024
"Tempatnya bagus, airnya jernih dan tempatnya bersih. Harga tiket perorang 5k dan parkir motor 3k",Alfrid Mali,setahun lalu,February 2024
Cocok buat liburan keluarga dengan lingkungan alam yang asri mudah dijangkau dan sangat terjangkau bagi semua kalangan...,Catur Ferry,setahun lalu,February 2024
"Sumber air yg indah banget ,bersih asli krasan banget ,mensyukuri nikmat Allah bener csntik sumber airnya",mufidah yusroh,setahun lalu,February 2024
"Jalan menuju lokasi sumber sira cukup baik, tempatnya masih sepi dan belum banyak penjual oleh2. Makanan disana cukup murah, harga rujak cuma 7rb. Tempatnya bersih dan aman untuk anak2. Tersedia kolam khusus anak2 juga",Gina Sakinah,setahun lalu,February 2024
Air sumber yang alami... Jernih,Abdul Azis,setahun lalu,February 2024
"Sungai yg biasa d akses warga untuk mandi, nyuci tp ada d ujung.
Sumber sira ada di atasnya,",Istiyara Arumi,setahun lalu,February 2024
"Bening mantap, suasana segar dikelilingi persawahan, bersih. Toilet dan tempat bilas juga bersih. Parkiran mobil cukup luas. …",Oki Zacharias,setahun lalu,February 2024
Tempatnya Sejuk & Alami👍👍👍 …,Gudianto Huang,setahun lalu,February 2024
"Bagus, airnya jernih jgn lupa nyelam guys, harga parkir lebih mahal daripada tiket masuk, mobil 10rb apa krn lebaran dimahalin ya",Mahmudah Nia,setahun lalu,February 2024
"Semoga keasrian tempat ini bisa terus terjaga. Sangat diharapkan pengunjung utk menjaga kebersihan dengan tdk membuang sampah sembaranga , krn saat saya berkunjung, kelihatan sampah berserakan di beberapa spot. Hidden gem di malang, wajib …",Toko Iboe Iffa,setahun lalu,February 2024
Adem banget gokill,Andy Sugiarto,setahun lalu,February 2024
Tempat rekreasi cocok buat keluarga..,Aris riswara,setahun lalu,February 2024
"Tempatnya enak untuk berenang, airnya bersih dikelilingi persawahan",greg_ ARN,setahun lalu,February 2024
"Tempatnya cukup strategis, tidak jauh dari jalan utama. Jalan akses ke tempat juga aman, tidak rusak. Tempatnya cukup luas, parkiran juga cukup luas. Suasana nya enak. Disini ada tempat buat kolam anak kecil² juga.",Ahmad Musyadad A.,setahun lalu,February 2024
"kolam anak2 bersih,, tempat permNdiannya adem dan jernih,, toilet bersih..makanan murah",Sucik Martini,setahun lalu,February 2024
Suasananya sejuk dan asri,Sunari Yanto,setahun lalu,February 2024
"Jauhi minuman keras, hilangkan stres",Joe 19,setahun lalu,February 2024
Bagus penyembuhannya....segar dan sejuk,Aris Hadi Pras,setahun lalu,February 2024
"Keunggulan di tempat ini airnya yang jernih dan dingin.
Pemandangan pesawahan yang tidak ditemui di tempat lain sehjngga membuat kembali sperti ke masa kanak2 mandi di aliran sungai persawahan.",kartika widya putra,setahun lalu,February 2024
Oke,Arema WenRu,setahun lalu,February 2024
Udara terdingin di sana,Cokro Sasmito,setahun lalu,February 2024
"Akses mudah untuk motor, tapi klo mobil agak effort dikit trs parkirnya susah. HTM sama parkirnya murah terus airnya jernih. Klo pake kacamata bisa liat ikan2 sama tanaman air lupa namanya.",Leon Chris,setahun lalu,February 2024
"Sangat cocok untuk wisata akhir bulan. Sangat hemat.
Parkir mobil 10k
Tiket masuk dewasa 5k …",Rahmi Lianingsih,setahun lalu,February 2024
Bagus,Chamdan KDR,setahun lalu,February 2024
bagus,Uchi dwi aggraeni fia,setahun lalu,February 2024
Tempat wisata bahari air sungai yang juga bisa dijadikan wahana belajar hidrologi secara alami,Kempo Hardyan,setahun lalu,February 2024
Air masih alami dan makananya murah,BROMO Kings,setahun lalu,February 2024
"Lokasinya satu desa dgn pondok saya dulu
ponpes Raudlatul Ulum2",Sofa Robb,setahun lalu,February 2024
"Selain berenang, tidak ada hiburan lain di sini.",Dinda Afianti,setahun lalu,February 2024
"Objek wisata baru, kolamnya bersih dan luas, airnya bening bersih. Cuman kurang tempat untuk meneduh kalo lagi hujan",Tya Arifathul,setahun lalu,February 2024
Seger airnya,Dhika Maulana Pratama,setahun lalu,February 2024
Joss,Candra Mando,setahun lalu,February 2024
"Alhamdulillah tempatnya asik. Ada ruang ganti, lengkap pokoknya dan jalannya juga naik turun",Shona Elkholiq,setahun lalu,February 2024
Tempat yang mengagumkan,Yoga Riyanto,setahun lalu,February 2024
"Murah. Tapi tidak terlalu luas, hanya kolam itu aja. Airnya jernih. Banyak orang jualan",Intan Nazul,setahun lalu,February 2024
Fasilitas lebih di perbanyak,Nurhudi Wijaya,setahun lalu,February 2024
"Salah satu tempat wisata air yang ada di Kabupaten Malang. Lokasi tempat wisata ini agak masuk kedalam melalui jalanan yang pas untuk mobil pada umumnya. Jalanan yang dilalui dengan kondisi baik namun ada yang berbatu, namun menurut saya …",Bella Sintawati,setahun lalu,February 2024
"Bersih, nyaman dan tenang",Joko Witono,2 tahun lalu,February 2023
Suasananya enak banget menyatu dgn alam 🥰 …,Agung Dian,2 tahun lalu,February 2023
"Lingkungan bersih, harga makanan dan minuman terjangkau. Hawa udara segar walaupun sdh siang-sore",Hikmah Fatimah,2 tahun lalu,February 2023
Healing tipis,Gazebo Cafe,2 tahun lalu,February 2023
asri alami,sasol “pakcams” pjok,2 tahun lalu,February 2023
Cukup baik,Robbi Pradana Mw,2 tahun lalu,February 2023
"Air sumber sira bener"" Jernih bersih, lokasi tidak jauh dari kota malang",Nur Afni Aulia,2 tahun lalu,February 2023
"Terbilang bersih untuk tempat kolamnya. Di kolam besar ada ikan-ikan kecil yang bakal nemenin renang. Ada banyak kolam untuk berenang dan sungai yang bersih, aliran air terbilang deras. Meskipun dangkal tetap berharap hati-hati apalagi bawa …",D. Adnindya Amalia,2 tahun lalu,February 2023
Bagus tp kurang pengembangan,plonco oktofrianto,2 tahun lalu,February 2023
Tempatnya cocok untuk liburan bersama teman ataupun keluarga😁👍 …,Desca Rossa,2 tahun lalu,February 2023
MANDIRI UTOMO TRANS Proses Muat Barang,rangga wahyu,2 tahun lalu,February 2023
Cukup dingin untuk menikmati cikopi namun ramai,Kribzz,2 tahun lalu,February 2023
"bersih, asri, enak buat healing. kurang banyak gazebo dan colokan listrik",Bayu Maulana,2 tahun lalu,February 2023
sebaik yang saya harapkan,Martin Sinaga,2 tahun lalu,February 2023
"Tempat yang mengerikan, tempat banyak pencuri dan pencuri",Sugijantoro Susanto,2 tahun lalu,February 2023
"Enak buat santai
Sejuk
Air bersih",faris ristam,2 tahun lalu,February 2023
Sebuah tintisan tempat wisata kolam renang alami yg patut diapresiasi.,Soebadar Id,2 tahun lalu,February 2023
"Paling enak dateng ketika weekday, serasa kolam privat",Rozin Hidayat,2 tahun lalu,February 2023
Saya suka,Bagas Sugiyantoro,2 tahun lalu,February 2023
Bagus,allen devi,2 tahun lalu,February 2023
"Kemaren pas kesini sempat kelewatan jadi lewat yg jalan lain tembusan. Alhasil gak bayar tiket karena lewat jalur pemukiman, cuma kena parkir aja 3rb. Untuk loker penitipan barang 5rb, mandi 3rb, ganti 2rb. …",Zulvia N,2 tahun lalu,February 2023
Airnya bening sekali. .sejuk ...dan yang pasti murah,Bambang Riyan,2 tahun lalu,February 2023
Cantik,Abdul Ghofur,2 tahun lalu,February 2023
"Kalo kesini pagi bgt pas baru buka jd sepi buat foto underwater blom butek, dasarnya pasir soalnya.",Astried Febrianti,2 tahun lalu,February 2023
Adem tempatnya,Sri Mulyani,2 tahun lalu,February 2023
Masih sangat alami,Alex,2 tahun lalu,February 2023
"hanya untuk yg mencintai kedalaman sih, sbb di luarnya B aja, view dalem airnya ciamik 🤩
B diluar, A++ didalam ❤️ …",Mayaria Desi,2 tahun lalu,February 2023
Tiap penat aq dan anak anak pasti kesini buat hilangin penat...,Sava Krisna,2 tahun lalu,February 2023
"Tempat bersih, bagus, tiker murah meriah, kolamnya ada 2, satu kolam sumber airnya bening seger, satu kolam anak2. Untuk warungnya juga murah sekali harganya untuk sekelas tempat wisata",Nuril Haidar,2 tahun lalu,February 2023
"Parkiran cukup luas. Kolam renang turun dikit dari parkiran. Sabtu kesini ga terlalu ramai. Tiket murahhhh 5rb, anak kecil 3rb parkir 3rb. Kolam dewasa disumbernya cukup luas. Kolam renang anak ada 2 dan cukup luas juga. Ada mushola dan …",Mukhamad Arif,2 tahun lalu,February 2023
Yg bawa bocil g usah panik ada kolam di dlm area,Suarni Palopo,2 tahun lalu,February 2023
"Kalo mau ngadem, berenang, berendam disini tempat yg pas. Airnya super sejuk dan jernih. Lmyn Bagus jg untuk underwater photography. Berenang disini gk khawatir air kotor, karena tiap detik airnya ganti  baru😁. Aman untuk kulit katna gk ada …",سنْط,2 tahun lalu,February 2023
"Masih alami, dan tentunya perlu dimaksimalkan potensial, dan manajemen pengelolaan perlu ditingkatkan menjadi prioritas, kesadaran pengunjung akan membuang sampah sembarangan tentunya harus menjadi kajian pihak pengelola baik menyediakan tempat dan tidak bosan mengimbau serta memberikan fasilitas yg memadai sesuai dengan kemampuan..",7 “‪INUNK‬” Rindu,2 tahun lalu,February 2023
"masuknya cmn 3000,mandi sepuasnya",Sulis Tyono,2 tahun lalu,February 2023
Untuk yang suka berendam atau renang disarankan ke sumber sira salah satunya..karena airnya mengalir jernih dan segar..dekat dari kota..akses mudah..suasana asri..cocok untuk keluarga,Joni Bepp,2 tahun lalu,February 2023
Sumber air yang masih sangat alami.. sejuk segar tenang.. tiket masuk 5rb dan tiket parkir 3rb.. ekonomis dan menyenangkan.. cocok untuk refreshing bermain air..  pujasera lengkap beragam menu makanan dengan harga yang sangat terjangkau dan …,samalid,2 tahun lalu,February 2023
"tempatnya bersih, airnya jernih dan warungnya murah... mantep buat sama keluarga",Mohammad Rizki Pratama,2 tahun lalu,February 2023
"Buat refreshing enak banget, melepas penat dari hiruk pikuk kendaraan tempatnya pun deket sawah"" yang menambah keasrian alamnya. Disini berenang sambil merefresh otak sangat recomended dari aku👍🏻 …",Ovaldo Ricky Fatahillah 28,2 tahun lalu,February 2023
"Asri, banyak pohon hanya mck kurang memadai",latif nasution,2 tahun lalu,February 2023
"Tempatnya masuk gang tapi rada masuk ke hutan dikit, sumbernya bersih, airnya jerniihh dan bagus karena ada ganggang di bawahnya, di samping sumber ada persawahan, tersedia toilet dan tempat parkir, untuk parkir waktu itu januari tahun ini …",Aulia Nur Fauzi'ah,2 tahun lalu,February 2023
"Ada kolam untuk anak kecilnya juga
Suasana nya bagus lah 👍👍 …",Nailul Khusnah,2 tahun lalu,February 2023
Mie ayamnya enak banget,Deszura Outfit,2 tahun lalu,February 2023
Tempat yang bagus untuk menenangkan diri,Rafli Ali,2 tahun lalu,February 2023
"Alhamdulillah air nya seger karena dari mata air..
Tambahan untuk pengelolaan lebih ditata lagi karena masih kekurangan terimakasih",ANGGI PRASETYO,2 tahun lalu,February 2023
Tempat yg nyaman n sejuk tuk berdiam diri dan memanjakan keluarga,prast miko,2 tahun lalu,February 2023
"Fasilitas tempat tunggu pinggir kolam kurang memadai.
Kolam bagian timur banyak batunya …",R5 Imam ftr,2 tahun lalu,February 2023
Kerennnnn,HENDRO,2 tahun lalu,February 2023
"Tempat nya bagus dan bersih, air nya juga masih bening",14 - FARIEL AVRILIO M D,2 tahun lalu,February 2023
Tempat yang sejuk untuk menyegarkan diri,Taufik Hidayah,2 tahun lalu,February 2023
"wisata masih alami dan asri htm sangat murah 5000/org saat itu, air nya seger dan jernih cocok untuk yg suka berendam air 😊 tersedia toilet umum, foodcourt makanan, ruang ganti ada taman2 kecil dan dan area bermain anak sangat komplit 🤩 …",Liisa Rn,2 tahun lalu,February 2023
Biaya tiket terjangkau. Terdapat taman serta stand Snack yg lengkap. Persewaan tubing serta tempat bilas dan berganti baju juga memadai,indra sukma,2 tahun lalu,February 2023
Sumber Sira Putukrejo. Saya cukup kagum dengan keindahan alam yang authentic khas wisata sumber di daerah malang. Hanya berjarak 30 menit dari Alun Alun malang ditembuh dengan sepeda motor maka Anda akan sampai ke tempat ini. Tempat yang …,Hulyo Firmansyah,2 tahun lalu,February 2023
Tempat nyaman. Cocok untuk rekreasi keluarga sambil berenang dengan ditemani banyak ikan ikan cantik,PTE B_MICHAEL DUNHAN,2 tahun lalu,February 2023
Pengalaman tak terlupakan dengan 3 kolam renang dan pemandangan indah 🇮🇩 …,mydarling ron,2 tahun lalu,February 2023
"Sumber mata air yang besar dengan debit airnya yang melimpah dan  jernih cocok buat berenang, harga tiket murah 5 000,- harga makanan yg terjangkau, secangkir kopi hitam dibandrol harga 3.000,- silahkan dibuktikan keindahan alamnya",Idcho Muchson,2 tahun lalu,February 2023
"Tempatnya bagus, airnya bersih, infrastrukturnya terawat, dan kawasannya sedang dalam perbaikan. Dan Anda akan berenang dengan banyak ikan kecil! Minusnya yang saya punya adalah tentang pengunjung lain.. …",Glen “BlackElite”,2 tahun lalu,February 2023
Sangat menarik untuk di kunjungi,Manan Filan,2 tahun lalu,February 2023
"Air jernih.,tukang parkirnya sopan dan penjaga tiketnya terlalu pendiam jadi ada yg nylonong di biarkan saja gak bayar..btw semua nyaman tinggal nunggu perbaikan selesai semua tambah ciamik sepertinya..tidak sabar kesana lagi..semangat..",Desi Hariono,2 tahun lalu,February 2023
Waah ini sih enak banget. Berenang tanpa kaporit 🥰😍 …,Mylla,2 tahun lalu,February 2023
"Jernih airnya, bisa berenang",Sulton Fauzan,2 tahun lalu,February 2023
Sumber air yg msh jernih,Dewi Puspitasari,2 tahun lalu,February 2023
"Alhamdulillah, lumayan terjangkau, parkir murah, gorengan murah, dan ada musholla nya juga 👍 …",wonk tawang,2 tahun lalu,February 2023
tiket dan makanan murah. petugasnya rendah hati.,Wawan Sobari,3 minggu lalu,January 2025
"Airnya bening, ada ikan kecil2. Rute mengikuti google gak bikin bingung kok. Mantaap👍🏻 Ada kolam anak juga. Harga tiket masuk murah 👍🏻 …",yohanna ipe,3 minggu lalu,January 2025
"Tempatnya nyaman dan hawa nya yg sejuk membuat hati tenang, cocok buat kalian yg ingin berakhir pekan bersama keluarga, dan cocok buat kalian yg ingin bersantai dan menenangkan suasana hati",Ilham Faro,2 tahun lalu,February 2023
Bersih rapi orng sktrnya ramah .asik buat mancing ikan wadeer,Serabi rangin & Es kelapa muda,2 tahun lalu,February 2023
Tempat yang sangat bagus,Muhammad Farizqo,2 tahun lalu,February 2023
Hanya mata air saja,masboy mn,2 tahun lalu,February 2023
"Sebenarnya tempat wisata yg sangat potensial, sayang banyak ditemukan bekas sachet shampoo dan sabun mandi... Sayang banget sumber air jernihnya. Kasih *5 kalau bs menertibkan hal2 tersebut",Halim Perdana AnjayaPP,2 tahun lalu,February 2023
Tempat wisata untuk berendam..pemandangan indah cocok tuk refressing,Siti Sumarni,2 tahun lalu,February 2023
"tempat sejuk dekat sawah, air jernihnya jernih sekali dan bersih",Rez Kukerz,2 tahun lalu,February 2023
"Bagus banget nyaman, muraahhh",Ferdina Salsabila,2 tahun lalu,February 2023
Cocok utk semua kalangan...,Sony Sonjaya,2 tahun lalu,February 2023
"Bening nya luar biasa. Sayang kutang pengelolaan. Terlihat sampah berserakan, terutama sachet sabun dan shampoo, sangat disayangkan dipakai deterjen untuk sumber air sejernih ini",Anjaya PP (Goodway Indonesia),2 tahun lalu,February 2023
Biasa aja  seperti bendungan bukan sumber. Tempat mandi jadi 1 perkir terlalu jauh seharusnya di bawah. Makanan cukup. Lokasi tempat makan ke jauh an,Fatur Roji,2 tahun lalu,February 2023
Tempat yang recommended buat berenang atau sekedar santai 😁 …,Alfi yuu,2 tahun lalu,February 2023
kamar ganti dan kamar mandi kurang nyaman,alfi firdania,2 tahun lalu,February 2023
Ademmm,Yudha R,2 tahun lalu,February 2023
Mantap,Budy Harta,2 tahun lalu,February 2023
Sumber sira memang bagus namun masih banyak publik yang tidak tahu bahwa nama asli dari sumber sira itu adalah sumber mbureng dan lokasinya berada di desa sumber jaya bukan desa putuk rejo,muhammad kholid mas udi,2 tahun lalu,February 2023
Tempatnya masih asri sekali. Airnya bening renang juga ma ikan2 kecil.,Jeine Manies,2 tahun lalu,February 2023
𝘼𝙨𝙞𝙠 𝙜𝙠 𝙗𝙤𝙨𝙚𝙣 𝙠𝙖𝙧𝙣𝙖 𝙗𝙖𝙧𝙪 𝙠𝙖𝙡𝙞 𝙞𝙣𝙞 𝙨𝙞𝙝 𝙜𝙠 𝙩𝙖𝙪 𝙪𝙣𝙩𝙪𝙠 𝙠𝙚𝙙𝙚𝙥𝙖𝙣𝙣𝙮𝙖 …,Mak rifaa,2 tahun lalu,February 2023
"Gak terlalu rame kalau datang pagi, airnya jernih jadi keliatan ikan-ikan dan tumbuhan di dasar sumber. Tiket masuk cukup murah, 5rb/orang. Ada persewaan pelampung juga, tapi airnya gak begitu dalam.",Puteri S P,2 tahun lalu,February 2023
"T4 nya keren..sejuk,pemandangan sekitar jg menenangkan & menyenangkan,airnya segar dikala udara siang yg begitu panass...saat berenang serasa diving dilaut,dikelilingi ikan jga..mantapp dech..👍👍 …",fajar heru cahyono,2 tahun lalu,February 2023
Jika,Faizal 1305,2 tahun lalu,February 2023
Tempat enak bisa buat santai sama keluarga.... Dalam tahap pembangunan area lokasi,Heri subowo,2 tahun lalu,February 2023
"Menyenangkan, semoga ke depan lebih bagus lagi",Ariyanti -,2 tahun lalu,February 2023
"Suasana nyaman, sejuk, air seger. Aman buat berenang, nggak terlalu dalam, tiket murah.",Muhammad Kaisi,2 tahun lalu,February 2023
"Bisa Healing dg harga murah, airnya jernih segerr cocok buat wisata air yg bersahabat",Wilis Wati,2 tahun lalu,February 2023
Suasana yg alami pegunungan,Leon Resandria,2 tahun lalu,February 2023
Wisata kolam renang alami...air langsung dari sumber mata air pegunungan..harga tiket murah banget di tambah suasana pedesaan dan banyak gasebo unt beristirahat,nayla zahra,2 tahun lalu,February 2023
Destinasi bernuansa tenang dengan kolam renang alami yang jernih & tumbuhan rimbun di dekat sawah.,Indra Satriya Perdana Kusuma Sinaga,2 tahun lalu,February 2023
suka sekali,Omen Boy,2 tahun lalu,February 2023
Salah satu opsi liburan low budget,agung wicaksono,2 tahun lalu,February 2023
Bagus,Ady Saputra,2 tahun lalu,February 2023
Mantab deh mandi disini,Muhammad Alfarizi,2 tahun lalu,February 2023
Tempatnya alami banget dan jalur untuk ke sini aman banget untuk anak-anak. Pemandangan indahh dilengkapi sawah-sawah dan pohon pohon besar. Terdapat warung yg menyediakan berbagai macam makanan serta camilan. Harga tiket masuk sangat terjangkau,Putri Zainudinn,2 tahun lalu,February 2023
Tempatnya sejuk dan indah. Airnya jernih. Recommended lah,Hironimus Jesanto Tamat,2 tahun lalu,February 2023
"Wisata murah meriah.
Tempatnya bersebelahan dg tempat wisata lain. Jadi sekali masuk, 2 tempat wisata di kunjungi.",Iskandar Khan,2 tahun lalu,February 2023
Airnya dingin dan segar,Lamone,2 tahun lalu,February 2023
Lumayan....,en cahyo,2 tahun lalu,February 2023
"Air jernih, ada ikannya... Datang kesorean jam 4.30, sudah sepi tapi dingin hehehe.... Naik motor bersama keluarga (berempat) bayar Rp 12000 untuk tiket + parkir. Bayar kamar ganti Rp 2000. Untuk orang dewasa menyenangkan tapi anak kecil …",Mohd. Agoes Aufiya,2 tahun lalu,February 2023
Recomended,Ayu Azizah,2 tahun lalu,February 2023
"Seger banget airnya, paling suka di bagian yg ada taneman airnya, jadi spt snorkeling di laut, tapi ini di air tawar. …",Zavira Ika R,2 tahun lalu,February 2023
"mandi yang sangat indah. memiliki air yang sangat jernih, murah dan dekat dengan kota Malang",ais gunsek,2 tahun lalu,February 2023
Airnya jernih dan sejuk,RAHMAT MUALIM,2 tahun lalu,February 2023
"Tempatnya keren,,,,",sri utami,2 tahun lalu,February 2023
Cocok bagi yg bisa berenang san butuh ketenangan,budi sulistyono,2 tahun lalu,February 2023
Santuy,Galaz anugrah,2 tahun lalu,February 2023
Tempatnya bagus,Unni Lilii,2 tahun lalu,February 2023
Sebagos ini whort it bgt lah!!,Muhammad Qolbi,2 tahun lalu,February 2023
Masya Allah. Airnya bening dan banyak ikannya,Plolong Pro,2 tahun lalu,February 2023
Suwegeeeeer pokok e👍 …,emiliana ayu,2 tahun lalu,February 2023
Tau tempat ini dri fyp situs pembelian tiket. Dan kebetulan ada di lokasi yg dekat. Memang sedikit berbeda ketika di iklankan situs tsb. Tapi oke lah. Sumbermata air yang sangat jernih dan  sangat menyegarkan tentunya. Jadi perjalanan anda akan terbayar ketika sampai disini,Fernanda,2 tahun lalu,February 2023
Airnya seger bgt,Ana Diana Farmiati,2 tahun lalu,February 2023
Tempat mandi saat remaja tahun 2000 sekarang udah maju meski blm bisa kesana lg hanya bisa liat dari jauh….semoga makin berkembang,Didiek Agung Pambudi,2 tahun lalu,February 2023
Jangan lupa bawa kacamata renang yg bening biar enak nikmati ikanw yang banyak warna warni dan rumput air yg bergoyang,mantaaba zukhruf,2 tahun lalu,February 2023
