wiI7pd,ulasan_clean,ulasan_normalisasi,ulasan_tokenizing,ulasan_stopwords,ulasan_stemming,ulasan_translate
"Banyak orang, airnya bersih, ada persewaan ban kecil dan besar yang murah, ada pusat kuliner untuk makan.",banyak orang airnya bersih ada persewaan ban kecil dan besar yang murah ada pusat kuliner untuk makan,banyak orang airnya bersih ada persewaan ban kecil dan besar yang murah ada pusat kuliner untuk makan,"['banyak', 'orang', 'airnya', 'bersih', 'ada', 'persewaan', 'ban', 'kecil', 'dan', 'besar', 'yang', 'murah', 'ada', 'pusat', 'kuliner', 'untuk', 'makan']","['orang', 'airnya', 'bersih', 'persewaan', 'ban', 'murah', 'pusat', 'kuliner', 'makan']",orang air bersih sewa ban murah pusat kuliner makan,many people are clean water there are small and large tire rentals that are cheap there is a culinary center for eating
Lumayan buat mengisi liburan,lumayan buat mengisi liburan,lumayan untuk mengisi liburan,"['lumayan', 'untuk', 'mengisi', 'liburan']","['lumayan', 'mengisi', 'liburan']",lumayan isi libur,Not bad for filling a vacation
Tempat Santai suasana asri,tempat santai suasana asri,tempat santai suasana asri,"['tempat', 'santai', 'suasana', 'asri']","['santai', 'suasana', 'asri']",santai suasana asri,a relaxing place of beautiful atmosphere
"cantikkk bgt biota airnyaaaa. ada tumbuhan, ikan"" kecil, bebatuan, pasirnya lembut. ekosistemnya bagus bgt terawat. tempatnya asri masih serba hijau dan gaada sampah. cuma sayangnya rame bgt pas kesana jd krg menikmati.",cantikkk bgt biota airnyaaaa ada tumbuhan ikan kecil bebatuan pasirnya lembut ekosistemnya bagus bgt terawat tempatnya asri masih serba hijau dan gaada sampah cuma sayangnya rame bgt pas kesana jd krg menikmati,cantik sangat biota airnya ada tumbuhan ikan kecil bebatuan pasirnya lembut ekosistemnya bagus sangat terawat tempatnya asri masih serba hijau dan tidak ada sampah cuma sayangnya ramai sangat saat kesana jadi kurang menikmati,"['cantik', 'sangat', 'biota', 'airnya', 'ada', 'tumbuhan', 'ikan', 'kecil', 'bebatuan', 'pasirnya', 'lembut', 'ekosistemnya', 'bagus', 'sangat', 'terawat', 'tempatnya', 'asri', 'masih', 'serba', 'hijau', 'dan', 'tidak', 'ada', 'sampah', 'cuma', 'sayangnya', 'ramai', 'sangat', 'saat', 'kesana', 'jadi', 'kurang', 'menikmati']","['cantik', 'biota', 'airnya', 'tumbuhan', 'ikan', 'bebatuan', 'pasirnya', 'lembut', 'ekosistemnya', 'bagus', 'terawat', 'tempatnya', 'asri', 'serba', 'hijau', 'sampah', 'sayangnya', 'ramai', 'kesana', 'menikmati']",cantik biota air tumbuh ikan bebatuan pasir lembut ekosistem bagus awat tempat asri serba hijau sampah sayang ramai kesana nikmat,beautiful water biota there are small fish plants with soft sandstones with good ecosystems very well maintained where the beautiful place is still completely green and there is no garbage just unfortunately very crowded when there so you don't enjoy it
Wisata menarik murah meria,wisata menarik murah meria,wisata menarik murah meriah,"['wisata', 'menarik', 'murah', 'meriah']","['wisata', 'menarik', 'murah', 'meriah']",wisata tarik murah riah,cheap attractive tourism
Bagus tempatnya,bagus tempatnya,bagus tempatnya,"['bagus', 'tempatnya']","['bagus', 'tempatnya']",bagus tempat,good place
"tempat yang sangat bagus untuk penyembuhan...airnya jernih tempatnya sejuk,apalagi ada pemandangan bawah laut yang sangat indah..recomended banget buat yang mau belajar berenang...anak kecil pun bisa kesini.. . sudah yang terbaik.. kamu tidak akan menyesalinya",tempat yang sangat bagus untuk penyembuhanairnya jernih tempatnya sejukapalagi ada pemandangan bawah laut yang sangat indahrecomended banget buat yang mau belajar berenanganak kecil pun bisa kesini sudah yang terbaik kamu tidak akan menyesalinya,tempat yang sangat bagus untuk penyembuhan airnya jernih tempatnya sejuk apalagi ada pemandangan bawah laut yang sangat indah recommended sangat untuk yang mau belajar berenang anak kecil bisa kesini sudah yang terbaik kamu tidak akan menyesalinya,"['tempat', 'yang', 'sangat', 'bagus', 'untuk', 'penyembuhan', 'airnya', 'jernih', 'tempatnya', 'sejuk', 'apalagi', 'ada', 'pemandangan', 'bawah', 'laut', 'yang', 'sangat', 'indah', 'recommended', 'sangat', 'untuk', 'yang', 'mau', 'belajar', 'berenang', 'anak', 'kecil', 'bisa', 'kesini', 'sudah', 'yang', 'terbaik', 'kamu', 'tidak', 'akan', 'menyesalinya']","['bagus', 'penyembuhan', 'airnya', 'jernih', 'tempatnya', 'sejuk', 'pemandangan', 'laut', 'indah', 'recommended', 'belajar', 'berenang', 'anak', 'kesini', 'terbaik', 'menyesalinya']",bagus sembuh air jernih tempat sejuk pandang laut indah recommended ajar renang anak kesini baik sesal,"A very good place for cure water is clear, the place is cool, especially there is a very beautiful underwater scenery, very recommended for those who want to learn to swim your child can come here, you will not regret it"
Sejuk rindang enak,sejuk rindang enak,sejuk rindang enak,"['sejuk', 'rindang', 'enak']","['sejuk', 'rindang', 'enak']",sejuk rindang enak,Cool shady delicious
"Alhamdulillah sumber bersih , makanan lumayan murah meriah , tiket masuh juga murah , pelayanan dan kebersihan juga bagus",alhamdulillah sumber bersih makanan lumayan murah meriah tiket masuh juga murah pelayanan dan kebersihan juga bagus,sumber bersih makanan lumayan murah meriah tiket masuh juga murah pelayanan dan kebersihan juga bagus,"['sumber', 'bersih', 'makanan', 'lumayan', 'murah', 'meriah', 'tiket', 'masuh', 'juga', 'murah', 'pelayanan', 'dan', 'kebersihan', 'juga', 'bagus']","['sumber', 'bersih', 'makanan', 'lumayan', 'murah', 'meriah', 'tiket', 'masuh', 'murah', 'pelayanan', 'kebersihan', 'bagus']",sumber bersih makan lumayan murah riah tiket masuh murah layan bersih bagus,"The clean source of food is pretty cheap, cheap tickets are also cheap, service and cleanliness are also good"
Tempat yang indah.,tempat yang indah,tempat yang indah,"['tempat', 'yang', 'indah']",['indah'],indah,a beautiful place
Disana itu sangat menyenangkan,disana itu sangat menyenangkan,disana itu sangat menyenangkan,"['disana', 'itu', 'sangat', 'menyenangkan']","['disana', 'menyenangkan']",sana senang,there is very fun
Asri airnya segar nyaman alami,asri airnya segar nyaman alami,asri airnya segar nyaman alami,"['asri', 'airnya', 'segar', 'nyaman', 'alami']","['asri', 'airnya', 'segar', 'nyaman', 'alami']",asri air segar nyaman alami,beautiful water fresh comfortable naturally
Bagus cuman ada sedikit sampah plastik yg ada di dalam kolam membuat kotor air yg begitu jernih,bagus cuman ada sedikit sampah plastik yg ada di dalam kolam membuat kotor air yg begitu jernih,bagus cuma ada sedikit sampah plastik yang ada dalam kolam membuat kotor air yang begitu jernih,"['bagus', 'cuma', 'ada', 'sedikit', 'sampah', 'plastik', 'yang', 'ada', 'dalam', 'kolam', 'membuat', 'kotor', 'air', 'yang', 'begitu', 'jernih']","['bagus', 'sampah', 'plastik', 'kolam', 'kotor', 'air', 'jernih']",bagus sampah plastik kolam kotor air jernih,good there is only a little plastic waste in the pond making dirty water so clear
Tujuan keluarga untuk menghabiskan liburan,tujuan keluarga untuk menghabiskan liburan,tujuan keluarga untuk menghabiskan liburan,"['tujuan', 'keluarga', 'untuk', 'menghabiskan', 'liburan']","['tujuan', 'keluarga', 'menghabiskan', 'liburan']",tuju keluarga habis libur,family destination to spend a vacation
airnya sangat dingin sekali enak banget pas renang siang hari bikin betah lama lama disini,airnya sangat dingin sekali enak banget pas renang siang hari bikin betah lama lama disini,airnya sangat dingin sekali enak sangat saat renang siang hari bikin betah lama lama disini,"['airnya', 'sangat', 'dingin', 'sekali', 'enak', 'sangat', 'saat', 'renang', 'siang', 'hari', 'bikin', 'betah', 'lama', 'lama', 'disini']","['airnya', 'dingin', 'enak', 'renang', 'siang', 'bikin', 'betah']",air dingin enak renang siang bikin betah,The water is very cold very good when swimming during the daytime makes a long time long here
Cocok buat rekreasi segala umur,cocok buat rekreasi segala umur,cocok untuk rekreasi segala umur,"['cocok', 'untuk', 'rekreasi', 'segala', 'umur']","['cocok', 'rekreasi', 'umur']",cocok rekreasi umur,suitable for recreation of all ages
Sersan,sersan,sersan,['sersan'],['sersan'],sersan,sergeant
"Akses dari kota malang cukup mudah, namun akses jalan menuju lokasi cukup sempit & sedikit rusak. Kedalaman air cukup bervariasi, tapi masih terbilang cetek. Sekitar 1 meter an.",akses dari kota malang cukup mudah namun akses jalan menuju lokasi cukup sempit sedikit rusak kedalaman air cukup bervariasi tapi masih terbilang cetek sekitar meter an,akses dari kota malang cukup mudah namun akses jalan menuju lokasi cukup sempit sedikit rusak kedalaman air cukup bervariasi tapi masih terbilang dangkal sekitar meter,"['akses', 'dari', 'kota', 'malang', 'cukup', 'mudah', 'namun', 'akses', 'jalan', 'menuju', 'lokasi', 'cukup', 'sempit', 'sedikit', 'rusak', 'kedalaman', 'air', 'cukup', 'bervariasi', 'tapi', 'masih', 'terbilang', 'dangkal', 'sekitar', 'meter']","['akses', 'kota', 'malang', 'mudah', 'akses', 'jalan', 'lokasi', 'sempit', 'rusak', 'kedalaman', 'air', 'bervariasi', 'terbilang', 'dangkal', 'meter']",akses kota malang mudah akses jalan lokasi sempit rusak dalam air variasi bilang dangkal meter,Access from Malang City is quite easy but the access road to the location is quite narrow slightly damaged water depth is quite varied but still fairly shallow about meters
Oke,oke,oke,['oke'],['oke'],oke,boundary
"Luar biasa, direkomendasikan untuk menyegarkan",luar biasa direkomendasikan untuk menyegarkan,luar biasa direkomendasikan untuk menyegarkan,"['luar', 'biasa', 'direkomendasikan', 'untuk', 'menyegarkan']","['direkomendasikan', 'menyegarkan']",rekomendasi segar,extraordinary recommended to refresh
Penataan mulai bagus,penataan mulai bagus,penataan mulai bagus,"['penataan', 'mulai', 'bagus']","['penataan', 'bagus']",tata bagus,The arrangement began to be good
Joss,joss,mantap,['mantap'],['mantap'],mantap,stable
Senang sich..cm wktu itu masih bnyak tempat wisata yg masih tutup.☹️,senang sichcm wktu itu masih bnyak tempat wisata yg masih tutup,senang waktu itu masih banyak tempat wisata yang masih tutup,"['senang', 'waktu', 'itu', 'masih', 'banyak', 'tempat', 'wisata', 'yang', 'masih', 'tutup']","['senang', 'wisata', 'tutup']",senang wisata tutup,happy at that time there were still many tourist attractions that were still closed
"Tempatnya tutup tapi googlenya nggk di update, udah jauh jauh dateng malah tutup.",tempatnya tutup tapi googlenya nggk di update udah jauh jauh dateng malah tutup,tempatnya tutup tapi googlenya tidak update udah jauh jauh dateng malah tutup,"['tempatnya', 'tutup', 'tapi', 'googlenya', 'tidak', 'update', 'udah', 'jauh', 'jauh', 'dateng', 'malah', 'tutup']","['tempatnya', 'tutup', 'googlenya', 'update', 'udah', 'dateng', 'tutup']",tempat tutup googlenya update udah dateng tutup,The place is closed but the google does not update already far away instead of closing
Sumber air Bagus disekitarnya banyak sawah,sumber air bagus disekitarnya banyak sawah,sumber air bagus disekitarnya banyak sawah,"['sumber', 'air', 'bagus', 'disekitarnya', 'banyak', 'sawah']","['sumber', 'air', 'bagus', 'disekitarnya', 'sawah']",sumber air bagus sekitar sawah,good water sources around it a lot of rice fields
Aku tidak benci aku suka,aku tidak benci aku suka,aku tidak benci aku suka,"['aku', 'tidak', 'benci', 'aku', 'suka']","['benci', 'suka']",benci suka,I don't hate me like it
Harus lebih dijaga,harus lebih dijaga,harus lebih dijaga,"['harus', 'lebih', 'dijaga']",['dijaga'],jaga,must be more guarded
GPS keterangan buka sampe sama suruh balik karena tutup total padahal jauh² datang,gps keterangan buka sampe sama suruh balik karena tutup total padahal jauh datang,gps keterangan buka sampai sama suruh kembali karena tutup total padahal jauh datang,"['gps', 'keterangan', 'buka', 'sampai', 'sama', 'suruh', 'kembali', 'karena', 'tutup', 'total', 'padahal', 'jauh', 'datang']","['gps', 'keterangan', 'buka', 'suruh', 'tutup', 'total']",gps terang buka suruh tutup total,GPS information opens to the same as told again because of the totally closed even though it comes far
Mantap,mantap,mantap,['mantap'],['mantap'],mantap,stable
Sudah bagus sih biaya terjangkau,sudah bagus sih biaya terjangkau,sudah bagus biaya terjangkau,"['sudah', 'bagus', 'biaya', 'terjangkau']","['bagus', 'biaya', 'terjangkau']",bagus biaya jangkau,It's good affordable costs
Tempat yang asik tapi sayang masih tutup,tempat yang asik tapi sayang masih tutup,tempat yang seru tapi sayang masih tutup,"['tempat', 'yang', 'seru', 'tapi', 'sayang', 'masih', 'tutup']","['seru', 'sayang', 'tutup']",seru sayang tutup,exciting place but unfortunately still closed
Buruk,buruk,buruk,['buruk'],['buruk'],buruk,bad
Tempatnya sejuk dan kolamnya jernih,tempatnya sejuk dan kolamnya jernih,tempatnya sejuk dan kolamnya jernih,"['tempatnya', 'sejuk', 'dan', 'kolamnya', 'jernih']","['tempatnya', 'sejuk', 'kolamnya', 'jernih']",tempat sejuk kolam jernih,The place is cool and the pool is clear
Pemandangan alam yg masih asri🌿🌿🌿 …,pemandangan alam yg masih asri,pemandangan alam yang masih asri,"['pemandangan', 'alam', 'yang', 'masih', 'asri']","['pemandangan', 'alam', 'asri']",pandang alam asri,beautiful natural scenery
Pelayanan mwantabb,pelayanan mwantabb,pelayanan mantap,"['pelayanan', 'mantap']","['pelayanan', 'mantap']",layan mantap,Steady service
"Airnya jernih, hanya spot foto kurang...",airnya jernih hanya spot foto kurang,airnya jernih hanya spot foto kurang,"['airnya', 'jernih', 'hanya', 'spot', 'foto', 'kurang']","['airnya', 'jernih', 'spot', 'foto']",air jernih spot foto,The water is clear only the photo spot is lacking
Pemandian alami dengan sumber air yang  jernih,pemandian alami dengan sumber air yang jernih,pemandian alami dengan sumber air yang jernih,"['pemandian', 'alami', 'dengan', 'sumber', 'air', 'yang', 'jernih']","['pemandian', 'alami', 'sumber', 'air', 'jernih']",mandi alami sumber air jernih,natural baths with clear water sources
"Asyik buat refresing...
Murah banget HTM nya...",asyik buat refresing murah banget htm nya,seru untuk refreshing murah sangat harga tiket masuk,"['seru', 'untuk', 'refreshing', 'murah', 'sangat', 'harga', 'tiket', 'masuk']","['seru', 'refreshing', 'murah', 'harga', 'tiket', 'masuk']",seru refreshing murah harga tiket masuk,"exciting for cheap refreshing, the price of admission"
"Zonk.. di Google Maps tertulis buka, waktu kesana Tutup Totalnya gara-gara pandemi. Harus lebih update lah. Kasian jauh kesini taunya tutup.. kurang profesional",zonk di google maps tertulis buka waktu kesana tutup totalnya garagara pandemi harus lebih update lah kasian jauh kesini taunya tutup kurang profesional,zonk google maps tertulis buka waktu kesana tutup totalnya gara gara pandemi harus lebih update kasian jauh kesini taunya tutup kurang profesional,"['zonk', 'google', 'maps', 'tertulis', 'buka', 'waktu', 'kesana', 'tutup', 'totalnya', 'gara', 'gara', 'pandemi', 'harus', 'lebih', 'update', 'kasian', 'jauh', 'kesini', 'taunya', 'tutup', 'kurang', 'profesional']","['zonk', 'google', 'maps', 'tertulis', 'buka', 'kesana', 'tutup', 'totalnya', 'gara', 'gara', 'pandemi', 'update', 'kasian', 'kesini', 'taunya', 'tutup', 'profesional']",zonk google maps tulis buka kesana tutup total gara gara pandemi update kasi kesini tau tutup profesional,"Zonk Google Maps Written Open Time Close in total because Pandemi has to be more updated when you know here, the closure is less professional"
"air jernih banget,cuman dasar kolam bebatuan agak tajam2,sewa ban kehabisan, air gak begitu dingin, view istimewa",air jernih bangetcuman dasar kolam bebatuan agak tajamsewa ban kehabisan air gak begitu dingin view istimewa,air jernih sangat cuma dasar kolam bebatuan agak tajam sewa ban kehabisan air tidak begitu dingin view istimewa,"['air', 'jernih', 'sangat', 'cuma', 'dasar', 'kolam', 'bebatuan', 'agak', 'tajam', 'sewa', 'ban', 'kehabisan', 'air', 'tidak', 'begitu', 'dingin', 'view', 'istimewa']","['air', 'jernih', 'dasar', 'kolam', 'bebatuan', 'tajam', 'sewa', 'ban', 'kehabisan', 'air', 'dingin', 'view', 'istimewa']",air jernih dasar kolam bebatuan tajam sewa ban habis air dingin view istimewa,"Clear water is very, just the bottom of the rock pool is rather sharp rental tires run out of water not so cold special view"
"Tempat nya sejuk, air nya jernih, harga makanan murah meriah, pedagang nya jg ramah2. Kalau beli makanan yg di dalam jangan di luar, karena kalau di luar dekat parkiran ngentol harga. Jempol 4 buat tmpat ini.",tempat nya sejuk air nya jernih harga makanan murah meriah pedagang nya jg ramah kalau beli makanan yg di dalam jangan di luar karena kalau di luar dekat parkiran ngentol harga jempol buat tmpat ini,tempat sejuk air jernih harga makanan murah meriah pedagang juga ramah kalau beli makanan yang dalam jangan luar karena kalau luar dekat parkiran harga jempol untuk tempat ini,"['tempat', 'sejuk', 'air', 'jernih', 'harga', 'makanan', 'murah', 'meriah', 'pedagang', 'juga', 'ramah', 'kalau', 'beli', 'makanan', 'yang', 'dalam', 'jangan', 'luar', 'karena', 'kalau', 'luar', 'dekat', 'parkiran', 'harga', 'jempol', 'untuk', 'tempat', 'ini']","['sejuk', 'air', 'jernih', 'harga', 'makanan', 'murah', 'meriah', 'pedagang', 'ramah', 'beli', 'makanan', 'parkiran', 'harga', 'jempol']",sejuk air jernih harga makan murah riah dagang ramah beli makan parkir harga jempol,Cool Place Clear water Prices of cheap food traders are also friendly when buying deep food not outside because if outside near the parking lot the price for this place
mantap .. tempatnya enak,mantap tempatnya enak,mantap tempatnya enak,"['mantap', 'tempatnya', 'enak']","['mantap', 'tempatnya', 'enak']",mantap tempat enak,Great place is good
Sesuai ekspektasi,sesuai ekspektasi,sesuai ekspektasi,"['sesuai', 'ekspektasi']","['sesuai', 'ekspektasi']",sesuai ekspektasi,according to expectations
"Tempat rekreasi yang menyenangkan, tiket masuk 5000 perorang dan parkir motor 2000. Worth it",tempat rekreasi yang menyenangkan tiket masuk perorang dan parkir motor worth it,tempat rekreasi yang menyenangkan tiket masuk perorang dan parkir motor worth it,"['tempat', 'rekreasi', 'yang', 'menyenangkan', 'tiket', 'masuk', 'perorang', 'dan', 'parkir', 'motor', 'worth', 'it']","['rekreasi', 'menyenangkan', 'tiket', 'masuk', 'perorang', 'parkir', 'motor', 'worth', 'it']",rekreasi senang tiket masuk orang parkir motor worth it,Recreation places that are fun to enter tickets for per person and parking motorcycle worth it
"Air nya jernih bgt, seger",air nya jernih bgt seger,air jernih sangat segar,"['air', 'jernih', 'sangat', 'segar']","['air', 'jernih', 'segar']",air jernih segar,Clear water is very fresh
Sumber sirah salah satu destinasi wisata yang cukup murah dan akses mudah.,sumber sirah salah satu destinasi wisata yang cukup murah dan akses mudah,sumber sirah salah satu destinasi wisata yang cukup murah dan akses mudah,"['sumber', 'sirah', 'salah', 'satu', 'destinasi', 'wisata', 'yang', 'cukup', 'murah', 'dan', 'akses', 'mudah']","['sumber', 'sirah', 'salah', 'destinasi', 'wisata', 'murah', 'akses', 'mudah']",sumber sirah salah destinasi wisata murah akses mudah,"Source of Sirah, one of the tourist destinations that is quite cheap and easy access"
"Bagus banget😍
Jernih banget airnya rekomended murah pol😂 …",bagus banget jernih banget airnya rekomended murah pol,bagus sangat jernih sangat airnya recommended murah sangat,"['bagus', 'sangat', 'jernih', 'sangat', 'airnya', 'recommended', 'murah', 'sangat']","['bagus', 'jernih', 'airnya', 'recommended', 'murah']",bagus jernih air recommended murah,good very clear very cheap water is very cheap
Jang salto dari atas ya....d dasar kolam banyak batu...airnya jernih sekali...bersih minim sampah,jang salto dari atas yad dasar kolam banyak batuairnya jernih sekalibersih minim sampah,jangan terjun dari atas dasar kolam banyak batu airnya jernih sekali bersih minimal sampah,"['jangan', 'terjun', 'dari', 'atas', 'dasar', 'kolam', 'banyak', 'batu', 'airnya', 'jernih', 'sekali', 'bersih', 'minimal', 'sampah']","['terjun', 'dasar', 'kolam', 'batu', 'airnya', 'jernih', 'bersih', 'minimal', 'sampah']",terjun dasar kolam batu air jernih bersih minimal sampah,do not jump from the bottom of the pool a lot of clear water stone is very clean at least garbage
"Asri,sejuk,murah,...
Spot foto bagus.",asrisejukmurah spot foto bagus,asri sejuk murah spot foto bagus,"['asri', 'sejuk', 'murah', 'spot', 'foto', 'bagus']","['asri', 'sejuk', 'murah', 'spot', 'foto', 'bagus']",asri sejuk murah spot foto bagus,beautiful cool cheap spots good photo
"Lumayan nyaman, airnya juga lumayan bersih. Cocok buat liburan bareng keluarga",lumayan nyaman airnya juga lumayan bersih cocok buat liburan bareng keluarga,lumayan nyaman airnya juga lumayan bersih cocok untuk liburan bareng keluarga,"['lumayan', 'nyaman', 'airnya', 'juga', 'lumayan', 'bersih', 'cocok', 'untuk', 'liburan', 'bareng', 'keluarga']","['lumayan', 'nyaman', 'airnya', 'lumayan', 'bersih', 'cocok', 'liburan', 'bareng', 'keluarga']",lumayan nyaman air lumayan bersih cocok libur bareng keluarga,pretty comfortable the water is also quite clean suitable for a vacation with family
Selamat menikmati slulupp,selamat menikmati slulupp,selamat menikmati menyelam,"['selamat', 'menikmati', 'menyelam']","['selamat', 'menikmati', 'menyelam']",selamat nikmat selam,Enjoy diving
Merupakan sifat yang sangat baik untuk mengisi ulang diri kita sendiri. Berenang di sini pada pagi hari akan memberi Anda energi baru.,merupakan sifat yang sangat baik untuk mengisi ulang diri kita sendiri berenang di sini pada pagi hari akan memberi anda energi baru,merupakan sifat yang sangat baik untuk mengisi ulang diri kita sendiri berenang sini pada pagi hari akan memberi anda energi baru,"['merupakan', 'sifat', 'yang', 'sangat', 'baik', 'untuk', 'mengisi', 'ulang', 'diri', 'kita', 'sendiri', 'berenang', 'sini', 'pada', 'pagi', 'hari', 'akan', 'memberi', 'anda', 'energi', 'baru']","['sifat', 'mengisi', 'ulang', 'berenang', 'pagi', 'energi']",sifat isi ulang renang pagi energi,is a very good trait to recharge ourselves swimming here in the morning will give you new energy
"Wisata sumber sira, merupakan Wisata yang banyak diminati oleh banyak pengunjung mulai dari anak-anak, remaja dan dewasa, tempatnya enak, nyaman,bersih, Adem,Alami, airnya juga jernih dan sangat Alami dari sumber yang sangat bagus dan besar.",wisata sumber sira merupakan wisata yang banyak diminati oleh banyak pengunjung mulai dari anakanak remaja dan dewasa tempatnya enak nyamanbersih ademalami airnya juga jernih dan sangat alami dari sumber yang sangat bagus dan besar,wisata sumber sira merupakan wisata yang banyak diminati oleh banyak pengunjung mulai dari anak anak remaja dan dewasa tempatnya enak nyaman bersih sejuk alami airnya juga jernih dan sangat alami dari sumber yang sangat bagus dan besar,"['wisata', 'sumber', 'sira', 'merupakan', 'wisata', 'yang', 'banyak', 'diminati', 'oleh', 'banyak', 'pengunjung', 'mulai', 'dari', 'anak', 'anak', 'remaja', 'dan', 'dewasa', 'tempatnya', 'enak', 'nyaman', 'bersih', 'sejuk', 'alami', 'airnya', 'juga', 'jernih', 'dan', 'sangat', 'alami', 'dari', 'sumber', 'yang', 'sangat', 'bagus', 'dan', 'besar']","['wisata', 'sumber', 'sira', 'wisata', 'diminati', 'pengunjung', 'anak', 'anak', 'remaja', 'dewasa', 'tempatnya', 'enak', 'nyaman', 'bersih', 'sejuk', 'alami', 'airnya', 'jernih', 'alami', 'sumber', 'bagus']",wisata sumber sira wisata mati unjung anak anak remaja dewasa tempat enak nyaman bersih sejuk alami air jernih alami sumber bagus,Sumber Sira Tourism is a tour that is in great demand by many visitors ranging from teenagers and adults the place is delicious to clean cool naturally the water is also clear and very natural from a very good and large source
kurang puas soalnya kotor dn bnyak bebatuan tajam.. tetap waspada sobat..,kurang puas soalnya kotor dn bnyak bebatuan tajam tetap waspada sobat,kurang puas soalnya kotor dan banyak bebatuan tajam tetap waspada sobat,"['kurang', 'puas', 'soalnya', 'kotor', 'dan', 'banyak', 'bebatuan', 'tajam', 'tetap', 'waspada', 'sobat']","['puas', 'kotor', 'bebatuan', 'tajam', 'waspada', 'sobat']",puas kotor bebatuan tajam waspada sobat,"not satisfied because the problem is dirty and a lot of sharp rocks remain alert, friend"
"tersedia warung makan dengan harga terjangkau,,,tempat mandi  anak juga ada,,,tempat mudah dijangkau,,berada diarea dekat persawahan,,cocok untuk yang suka berfoto foto,,,",tersedia warung makan dengan harga terjangkautempat mandi anak juga adatempat mudah dijangkauberada diarea dekat persawahancocok untuk yang suka berfoto foto,tersedia warung makan dengan harga terjangkau tempat mandi anak juga ada tempat mudah dijangkau berada diarea dekat persawahan cocok untuk yang suka berfoto foto,"['tersedia', 'warung', 'makan', 'dengan', 'harga', 'terjangkau', 'tempat', 'mandi', 'anak', 'juga', 'ada', 'tempat', 'mudah', 'dijangkau', 'berada', 'diarea', 'dekat', 'persawahan', 'cocok', 'untuk', 'yang', 'suka', 'berfoto', 'foto']","['tersedia', 'warung', 'makan', 'harga', 'terjangkau', 'mandi', 'anak', 'mudah', 'dijangkau', 'diarea', 'persawahan', 'cocok', 'suka', 'berfoto', 'foto']",sedia warung makan harga jangkau mandi anak mudah jangkau area sawah cocok suka foto foto,Available food stalls at affordable prices for bathing children's baths also have an easy place to reach in the area near the rice fields suitable for those who like to take pictures
"Biaya masuk 5000/orang dan biaya parkir 2000/orang, murah meriah dan cocok untuk wisata bersama keluarga.Airnya segar, bersih, dan banyak ikannya. Ada juga spot foto di tanaman air, tapi rawan rusak kalau tidak hati-hati. Mungkin bisa …",biaya masuk orang dan biaya parkir orang murah meriah dan cocok untuk wisata bersama keluargaairnya segar bersih dan banyak ikannya ada juga spot foto di tanaman air tapi rawan rusak kalau tidak hatihati mungkin bisa,biaya masuk orang dan biaya parkir orang murah meriah dan cocok untuk wisata bersama keluarga airnya segar bersih dan banyak ikannya ada juga spot foto tanaman air tapi rawan rusak kalau tidak hati hati mungkin bisa,"['biaya', 'masuk', 'orang', 'dan', 'biaya', 'parkir', 'orang', 'murah', 'meriah', 'dan', 'cocok', 'untuk', 'wisata', 'bersama', 'keluarga', 'airnya', 'segar', 'bersih', 'dan', 'banyak', 'ikannya', 'ada', 'juga', 'spot', 'foto', 'tanaman', 'air', 'tapi', 'rawan', 'rusak', 'kalau', 'tidak', 'hati', 'hati', 'mungkin', 'bisa']","['biaya', 'masuk', 'orang', 'biaya', 'parkir', 'orang', 'murah', 'meriah', 'cocok', 'wisata', 'keluarga', 'airnya', 'segar', 'bersih', 'ikannya', 'spot', 'foto', 'tanaman', 'air', 'rawan', 'rusak', 'hati', 'hati']",biaya masuk orang biaya parkir orang murah riah cocok wisata keluarga air segar bersih ikan spot foto tanam air rawan rusak hati hati,The entrance fee for people and the cost of parking cheap people is festive and suitable for tourism with the family of the water fresh clean and many fish there are also spot photos of aquatic plants but prone to be damaged if you are not careful maybe you can
Bagus,bagus,bagus,['bagus'],['bagus'],bagus,Good
"Sekarang buka nggak ya, kangen lama nggak kesana",sekarang buka nggak ya kangen lama nggak kesana,sekarang buka tidak kangen lama tidak kesana,"['sekarang', 'buka', 'tidak', 'kangen', 'lama', 'tidak', 'kesana']","['buka', 'kangen', 'kesana']",buka kangen kesana,now open not long enough not to go there
Jalurnya luarbiasa,jalurnya luarbiasa,jalurnya luar biasa,"['jalurnya', 'luar', 'biasa']",['jalurnya'],jalur,The path is extraordinary
"Air sangat segar dan jernih, recomended 👍 …",air sangat segar dan jernih recomended,air sangat segar dan jernih recommended,"['air', 'sangat', 'segar', 'dan', 'jernih', 'recommended']","['air', 'segar', 'jernih', 'recommended']",air segar jernih recommended,very fresh water and clear recommended
Tempat yang cocok untuk berlibur keluarga,tempat yang cocok untuk berlibur keluarga,tempat yang cocok untuk berlibur keluarga,"['tempat', 'yang', 'cocok', 'untuk', 'berlibur', 'keluarga']","['cocok', 'berlibur', 'keluarga']",cocok libur keluarga,a suitable place for family vacation
Segar,segar,segar,['segar'],['segar'],segar,fresh
mata air bening,mata air bening,mata air bening,"['mata', 'air', 'bening']","['mata', 'air', 'bening']",mata air bening,clear springs
